question,question_label,demographic,response,White,Black,Hispanic,Other
q33,"In recent years, digital voice assistants like Google Assistant, Amazon's Alexa, and Siri have become widely available. 

Regardless of whether you use a voice assistant in your daily life, if you were invited to another survey, how likely is it that you would participate if the questions were asked by a digital voice assistant?",raceeth,Very likely,20%,38%,24%,20%
q33,"In recent years, digital voice assistants like Google Assistant, Amazon's Alexa, and Siri have become widely available. 

Regardless of whether you use a voice assistant in your daily life, if you were invited to another survey, how likely is it that you would participate if the questions were asked by a digital voice assistant?",raceeth,Likely,43%,39%,47%,35%
q33,"In recent years, digital voice assistants like Google Assistant, Amazon's Alexa, and Siri have become widely available. 

Regardless of whether you use a voice assistant in your daily life, if you were invited to another survey, how likely is it that you would participate if the questions were asked by a digital voice assistant?",raceeth,Not very likely,24%,16%,18%,27%
q33,"In recent years, digital voice assistants like Google Assistant, Amazon's Alexa, and Siri have become widely available. 

Regardless of whether you use a voice assistant in your daily life, if you were invited to another survey, how likely is it that you would participate if the questions were asked by a digital voice assistant?",raceeth,Not at all likely,12%,8%,11%,18%
