question,question_label,demographic,response,HS or less,Some college/2-yr degree,4-yr/post-graduate degree
q35,"Social media users have the option to poll (ask a survey question to) their audience using platforms like Twitter, Facebook, Instagram, and TikTok.

Do you believe in social media polls?",education,Yes,37%,38%,39%
q35,"Social media users have the option to poll (ask a survey question to) their audience using platforms like Twitter, Facebook, Instagram, and TikTok.

Do you believe in social media polls?",education,No,21%,20%,22%
q35,"Social media users have the option to poll (ask a survey question to) their audience using platforms like Twitter, Facebook, Instagram, and TikTok.

Do you believe in social media polls?",education,It depends on who is asking,42%,42%,39%
